concurrency,prompt_size,response_size,successful_requests,failed_requests,avg_latency,avg_ttft,throughput,total_execution_time,error_status_codes
1,1024,2048,1,0,2.1816508769989014,2.1816701889038086,23.372105631542176,2.1820883750915527,{}
2,1024,2048,2,0,2.659275531768799,2.659293055534363,28.54849493774922,3.0824742317199707,{}
3,1024,2048,3,0,4.7098963260650635,4.709919134775798,34.39770018655034,7.587716579437256,{}
4,1024,2048,4,0,4.480610251426697,4.480646431446075,38.377630458306186,13.15870714187622,{}
5,1024,2048,5,0,3.9492669105529785,3.949291133880615,33.49872415345858,18.806686401367188,{}
6,1024,2048,6,0,6.224106311798096,6.224127332369487,41.00855381229194,25.21425175666809,{}
7,1024,2048,7,0,3.935236624308995,3.935269662312099,25.43517539895429,27.009839296340942,{}
8,1024,2048,8,0,5.495956271886826,5.49598491191864,36.95023753213387,27.9023916721344,{}
9,1024,2048,9,0,3.2079331080118814,3.207954592174954,40.748591809024006,15.706064224243164,{}
10,1024,2048,10,0,3.4536399364471437,3.4536645889282225,24.300652512714528,27.777031898498535,{}
1,2048,64,1,0,2.753683090209961,2.7537031173706055,19.9695980642485,2.7541866302490234,{}
2,2048,64,2,0,3.243599057197571,3.2436130046844482,27.65016523205522,3.9059441089630127,{}
3,2048,64,3,0,3.5418993631998696,3.541919231414795,20.014853887717564,7.744248390197754,{}
4,2048,64,4,0,3.2112963795661926,3.211315929889679,29.368025843500465,7.423038959503174,{}
5,2048,64,5,0,3.116200351715088,3.11621470451355,19.033734661239937,14.290416717529297,{}
6,2048,64,6,0,3.1551134983698526,3.15513285001119,19.44055729001461,16.20323920249939,{}
7,2048,64,7,0,2.955533572605678,2.9555526801518033,14.625441542044019,24.95651149749756,{}
8,2048,64,8,0,3.374602496623993,3.3746408224105835,15.413149135933173,26.535784244537354,{}
9,2048,64,9,0,3.2232609589894614,3.2232787344190807,17.090102793408587,26.8576500415802,{}
10,2048,64,10,0,3.2407260656356813,3.2407429933547975,13.645514286888837,37.448203802108765,{}
1,1024,1024,1,0,8.90520429611206,8.905223608016968,50.9789745270043,8.905632257461548,{}
2,1024,1024,2,0,3.8232895135879517,3.823306083679199,20.46571451701083,4.299874305725098,{}
3,1024,1024,3,0,4.291468381881714,4.291489680608113,43.74643118078674,8.20638370513916,{}
4,1024,1024,4,0,5.834850072860718,5.834883391857147,49.99116638532141,14.84262228012085,{}
5,1024,1024,5,0,3.832848596572876,3.8328745365142822,37.71236478119134,14.000713109970093,{}
6,1024,1024,6,0,3.0912364721298218,3.0912599166234336,29.50246626430416,15.625812292098999,{}
7,1024,1024,7,0,3.9853034019470215,3.9853271075657437,24.429449180460615,31.928677320480347,{}
8,1024,1024,8,0,2.955141931772232,2.955167055130005,17.13503827231289,27.370817184448242,{}
9,1024,1024,9,0,3.7933132118648953,3.7933388551076255,33.02927088444354,26.098063230514526,{}
10,1024,1024,10,0,3.553601694107056,3.5536309480667114,27.235386768830477,30.14460587501526,{}
1,2048,1024,1,0,4.298271417617798,4.298286199569702,35.82446951680493,4.2987377643585205,{}
2,2048,1024,2,0,3.9611024856567383,3.9611282348632812,33.699733673778724,4.836833477020264,{}
3,2048,1024,3,0,8.210443814595541,8.21046749750773,52.859394832782634,17.026301622390747,{}
4,2048,1024,4,0,9.815955817699432,9.81597912311554,44.56056576558389,27.53555703163147,{}
5,2048,1024,5,0,6.560004663467407,6.560023593902588,40.881336495510965,20.40050721168518,{}
6,2048,1024,6,0,5.739160656929016,5.739182273546855,37.97911443323898,26.435582160949707,{}
7,2048,1024,7,0,6.897866112845285,6.897887059620449,46.87257434198575,30.017553329467773,{}
8,2048,1024,8,0,7.597271531820297,7.597296595573425,38.04828150099242,37.24215507507324,{}
9,2048,1024,9,0,6.396976841820611,6.396998855802748,46.648864515466855,42.05890154838562,{}
10,2048,1024,10,0,7.478377437591552,7.478397226333618,38.4819552086276,51.296769857406616,{}
1,64,1024,1,0,5.192025423049927,5.192043304443359,50.842595283354186,5.1924965381622314,{}
2,64,1024,2,0,3.0151551961898804,3.0151705741882324,37.993855996572336,3.6058461666107178,{}
3,64,1024,3,0,2.7709033489227295,2.77092711130778,32.94882571894706,5.827218294143677,{}
4,64,1024,4,0,3.669077754020691,3.6690978407859802,35.94047730033985,11.352102994918823,{}
5,64,1024,5,0,4.519947195053101,4.519992923736572,36.704994242205245,16.45552635192871,{}
6,64,1024,6,0,5.526715834935506,5.5267402331034345,45.81612606215176,20.40766167640686,{}
7,64,1024,7,0,2.8542450836726596,2.8542789050510953,20.089753705316735,24.440319538116455,{}
8,64,1024,8,0,4.422137647867203,4.422166615724564,21.322321484790756,38.035258054733276,{}
9,64,1024,9,0,4.831735504998101,4.831767903433906,36.06448574500535,36.212910652160645,{}
10,64,1024,10,0,4.365419316291809,4.365443539619446,27.6933431427517,37.40971231460571,{}
1,64,2048,1,0,3.7834584712982178,3.7834746837615967,39.64163184912194,3.783900737762451,{}
2,64,2048,2,0,2.917081832885742,2.917104125022888,37.96117865402782,3.5299220085144043,{}
3,64,2048,3,0,3.699230432510376,3.6992529233296714,41.81921720099479,8.967169284820557,{}
4,64,2048,4,0,5.208705544471741,5.208734154701233,40.683872199470976,15.337773084640503,{}
5,64,2048,5,0,3.0477980613708495,3.0478303909301756,27.12727200459534,13.676273822784424,{}
6,64,2048,6,0,4.871370951334636,4.871394077936809,28.577997034293094,27.32871723175049,{}
7,64,2048,7,0,3.7904019355773926,3.7904253687177385,28.729591315018435,27.32374405860901,{}
